Date,Store_ID,City,Region,Drink_Category,Units_Sold,Revenue,Customer_Count,Latitude,Longitude
2020-01,S001,New York,East,Coffee,243,1192.87,86,40.7128,-74.006
2020-01,S001,New York,East,Tea,127,789.83,111,40.7128,-74.006
2020-01,S001,New York,East,Frappuccino,197,1246.92,155,40.7128,-74.006
2020-01,S001,New York,East,Refreshers,139,764.07,136,40.7128,-74.006
2020-01,S001,New York,East,Bakery,100,549.51,93,40.7128,-74.006
2020-01,S001,New York,East,Seasonal,252,1099.23,137,40.7128,-74.006
2020-01,S002,Los Angeles,West,Coffee,160,661.45,178,34.0522,-118.2437
2020-01,S002,Los Angeles,West,Tea,111,502.66,178,34.0522,-118.2437
2020-01,S002,Los Angeles,West,Frappuccino,166,634.08,106,34.0522,-118.2437
2020-01,S002,Los Angeles,West,Refreshers,117,557.71,165,34.0522,-118.2437
2020-01,S002,Los Angeles,West,Bakery,84,401.6,148,34.0522,-118.2437
2020-01,S002,Los Angeles,West,Seasonal,242,1215.86,150,34.0522,-118.2437
2020-01,S003,Chicago,Midwest,Coffee,208,690.95,84,41.8781,-87.6298
2020-01,S003,Chicago,Midwest,Tea,118,507.32,129,41.8781,-87.6298
2020-01,S003,Chicago,Midwest,Frappuccino,183,589.99,189,41.8781,-87.6298
2020-01,S003,Chicago,Midwest,Refreshers,143,615.32,152,41.8781,-87.6298
2020-01,S003,Chicago,Midwest,Bakery,85,364.99,149,41.8781,-87.6298
2020-01,S003,Chicago,Midwest,Seasonal,245,1409.45,104,41.8781,-87.6298
2020-01,S004,Houston,South,Coffee,108,386.56,108,29.7604,-95.3698
2020-01,S004,Houston,South,Tea,59,181.0,131,29.7604,-95.3698
2020-01,S004,Houston,South,Frappuccino,112,526.32,135,29.7604,-95.3698
2020-01,S004,Houston,South,Refreshers,63,348.5,138,29.7604,-95.3698
2020-01,S004,Houston,South,Bakery,45,169.18,159,29.7604,-95.3698
2020-01,S004,Houston,South,Seasonal,138,865.87,147,29.7604,-95.3698
2020-01,S005,Phoenix,West,Coffee,140,691.7,117,33.4484,-112.074
2020-01,S005,Phoenix,West,Tea,81,445.39,132,33.4484,-112.074
2020-01,S005,Phoenix,West,Frappuccino,131,464.03,166,33.4484,-112.074
2020-01,S005,Phoenix,West,Refreshers,86,258.12,152,33.4484,-112.074
2020-01,S005,Phoenix,West,Bakery,55,293.54,130,33.4484,-112.074
2020-01,S005,Phoenix,West,Seasonal,166,765.05,177,33.4484,-112.074
2020-01,S006,Philadelphia,East,Coffee,126,586.27,122,39.9526,-75.1652
2020-01,S006,Philadelphia,East,Tea,52,245.02,81,39.9526,-75.1652
2020-01,S006,Philadelphia,East,Frappuccino,90,404.18,84,39.9526,-75.1652
2020-01,S006,Philadelphia,East,Refreshers,55,292.9,178,39.9526,-75.1652
2020-01,S006,Philadelphia,East,Bakery,52,320.77,93,39.9526,-75.1652
2020-01,S006,Philadelphia,East,Seasonal,102,621.96,103,39.9526,-75.1652
2020-01,S007,San Antonio,South,Coffee,154,829.23,108,29.4241,-98.4936
2020-01,S007,San Antonio,South,Tea,91,440.14,155,29.4241,-98.4936
2020-01,S007,San Antonio,South,Frappuccino,125,567.14,158,29.4241,-98.4936
2020-01,S007,San Antonio,South,Refreshers,103,602.56,83,29.4241,-98.4936
2020-01,S007,San Antonio,South,Bakery,64,394.91,127,29.4241,-98.4936
2020-01,S007,San Antonio,South,Seasonal,185,1083.3,165,29.4241,-98.4936
2020-01,S008,San Diego,West,Coffee,114,351.24,191,32.7157,-117.1611
2020-01,S008,San Diego,West,Tea,52,212.65,151,32.7157,-117.1611
2020-01,S008,San Diego,West,Frappuccino,103,418.23,174,32.7157,-117.1611
2020-01,S008,San Diego,West,Refreshers,88,269.04,90,32.7157,-117.1611
2020-01,S008,San Diego,West,Bakery,38,198.83,192,32.7157,-117.1611
2020-01,S008,San Diego,West,Seasonal,131,494.05,190,32.7157,-117.1611
2020-01,S009,Dallas,South,Coffee,126,607.47,125,32.7767,-96.797
2020-01,S009,Dallas,South,Tea,70,253.57,147,32.7767,-96.797
2020-01,S009,Dallas,South,Frappuccino,103,432.09,106,32.7767,-96.797
2020-01,S009,Dallas,South,Refreshers,74,394.45,165,32.7767,-96.797
2020-01,S009,Dallas,South,Bakery,73,443.21,173,32.7767,-96.797
2020-01,S009,Dallas,South,Seasonal,141,806.82,156,32.7767,-96.797
2020-01,S010,San Jose,West,Coffee,155,780.47,159,37.3382,-121.8863
2020-01,S010,San Jose,West,Tea,78,400.34,144,37.3382,-121.8863
2020-01,S010,San Jose,West,Frappuccino,138,585.99,101,37.3382,-121.8863
2020-01,S010,San Jose,West,Refreshers,104,551.86,176,37.3382,-121.8863
2020-01,S010,San Jose,West,Bakery,65,195.37,173,37.3382,-121.8863
2020-01,S010,San Jose,West,Seasonal,147,826.54,169,37.3382,-121.8863
2020-02,S001,New York,East,Coffee,224,697.3,87,40.7128,-74.006
2020-02,S001,New York,East,Tea,113,451.8,156,40.7128,-74.006
2020-02,S001,New York,East,Frappuccino,178,675.66,181,40.7128,-74.006
2020-02,S001,New York,East,Refreshers,137,876.61,174,40.7128,-74.006
2020-02,S001,New York,East,Bakery,80,384.23,167,40.7128,-74.006
2020-02,S001,New York,East,Seasonal,264,1424.62,190,40.7128,-74.006
2020-02,S002,Los Angeles,West,Coffee,167,678.04,144,34.0522,-118.2437
2020-02,S002,Los Angeles,West,Tea,96,561.5,152,34.0522,-118.2437
2020-02,S002,Los Angeles,West,Frappuccino,149,596.8,150,34.0522,-118.2437
2020-02,S002,Los Angeles,West,Refreshers,103,479.9,136,34.0522,-118.2437
2020-02,S002,Los Angeles,West,Bakery,72,316.82,94,34.0522,-118.2437
2020-02,S002,Los Angeles,West,Seasonal,229,1488.1,175,34.0522,-118.2437
2020-02,S003,Chicago,Midwest,Coffee,194,763.39,153,41.8781,-87.6298
2020-02,S003,Chicago,Midwest,Tea,91,504.43,130,41.8781,-87.6298
2020-02,S003,Chicago,Midwest,Frappuccino,139,872.03,127,41.8781,-87.6298
2020-02,S003,Chicago,Midwest,Refreshers,121,766.98,89,41.8781,-87.6298
2020-02,S003,Chicago,Midwest,Bakery,87,433.58,122,41.8781,-87.6298
2020-02,S003,Chicago,Midwest,Seasonal,246,835.13,175,41.8781,-87.6298
2020-02,S004,Houston,South,Coffee,100,445.23,150,29.7604,-95.3698
2020-02,S004,Houston,South,Tea,63,264.37,120,29.7604,-95.3698
2020-02,S004,Houston,South,Frappuccino,87,328.16,161,29.7604,-95.3698
2020-02,S004,Houston,South,Refreshers,63,256.87,129,29.7604,-95.3698
2020-02,S004,Houston,South,Bakery,58,244.78,170,29.7604,-95.3698
2020-02,S004,Houston,South,Seasonal,139,495.54,123,29.7604,-95.3698
2020-02,S005,Phoenix,West,Coffee,140,458.29,113,33.4484,-112.074
2020-02,S005,Phoenix,West,Tea,70,409.23,96,33.4484,-112.074
2020-02,S005,Phoenix,West,Frappuccino,101,350.12,131,33.4484,-112.074
2020-02,S005,Phoenix,West,Refreshers,83,274.34,116,33.4484,-112.074
2020-02,S005,Phoenix,West,Bakery,47,174.1,186,33.4484,-112.074
2020-02,S005,Phoenix,West,Seasonal,136,787.05,130,33.4484,-112.074
2020-02,S006,Philadelphia,East,Coffee,107,461.2,82,39.9526,-75.1652
2020-02,S006,Philadelphia,East,Tea,58,190.15,80,39.9526,-75.1652
2020-02,S006,Philadelphia,East,Frappuccino,105,356.21,118,39.9526,-75.1652
2020-02,S006,Philadelphia,East,Refreshers,66,377.05,147,39.9526,-75.1652
2020-02,S006,Philadelphia,East,Bakery,54,256.04,85,39.9526,-75.1652
2020-02,S006,Philadelphia,East,Seasonal,129,680.84,125,39.9526,-75.1652
2020-02,S007,San Antonio,South,Coffee,138,636.55,189,29.4241,-98.4936
2020-02,S007,San Antonio,South,Tea,77,291.7,91,29.4241,-98.4936
2020-02,S007,San Antonio,South,Frappuccino,129,492.32,155,29.4241,-98.4936
2020-02,S007,San Antonio,South,Refreshers,103,547.58,196,29.4241,-98.4936
2020-02,S007,San Antonio,South,Bakery,63,389.75,125,29.4241,-98.4936
2020-02,S007,San Antonio,South,Seasonal,172,723.97,164,29.4241,-98.4936
2020-02,S008,San Diego,West,Coffee,124,424.23,133,32.7157,-117.1611
2020-02,S008,San Diego,West,Tea,61,361.68,136,32.7157,-117.1611
2020-02,S008,San Diego,West,Frappuccino,108,452.23,96,32.7157,-117.1611
2020-02,S008,San Diego,West,Refreshers,73,248.3,171,32.7157,-117.1611
2020-02,S008,San Diego,West,Bakery,54,326.0,97,32.7157,-117.1611
